iter	RMSE
0	3886.048343
1	3740.338409
2	3599.77621
3	3467.424786
4	3339.375535
5	3215.977756
6	3097.454979
7	2983.963735
8	2874.690203
9	2770.814054
10	2671.007761
11	2575.573686
12	2483.057623
13	2396.034333
14	2311.492929
15	2230.267666
16	2152.447673
17	2078.303007
18	2006.360134
19	1937.092671
20	1871.269837
21	1809.188522
22	1749.153505
23	1691.410988
24	1636.527307
25	1584.032611
26	1534.094396
27	1486.075242
28	1440.720725
29	1397.524768
30	1356.234346
31	1316.693333
32	1278.166615
33	1241.617865
34	1206.877876
35	1173.820692
36	1142.893857
37	1112.947844
38	1084.1467
39	1057.11484
40	1031.560537
41	1006.81582
42	984.1500005
43	962.1610056
44	941.1703815
45	921.3658036
46	902.5693651
47	885.0155136
48	867.769162
49	852.0775047
50	837.1658773
51	822.6266129
52	809.2580218
53	796.6338231
54	784.2659388
55	772.9017912
56	762.0478536
57	751.8594976
58	742.3980574
59	732.9980541
60	724.2774772
61	716.2724758
62	708.5379076
63	701.4244526
64	694.7106532
65	688.1785728
66	681.9152817
67	676.2355451
68	671.1245316
69	666.1084221
70	661.3466054
71	656.712535
72	652.516527
73	648.2406462
74	644.4449683
75	640.9288379
76	637.612016
77	634.6409168
78	631.5610494
79	628.7408258
80	626.0434181
81	623.4644118
82	621.1179988
83	618.8710276
84	616.8010475
85	614.8525827
86	612.8887359
87	611.2636458
88	609.4472357
89	607.860286
90	606.3029666
91	604.8879922
92	603.6137293
93	602.28101
94	601.0790743
95	599.8682916
96	598.7603726
97	597.6793103
98	596.6253847
99	595.7678978
100	594.8473876
101	593.9855267
102	593.1525348
103	592.4113383
104	591.6533403
105	590.9165425
106	590.130334
107	589.5190772
108	588.8586235
109	588.2728973
110	587.7039984
111	587.1105961
112	586.6447522
113	586.1707656
114	585.645602
115	585.1720726
116	584.7132266
117	584.2986777
118	583.8704943
119	583.4759896
120	583.0534454
121	582.6866636
122	582.2625416
123	581.8766459
124	581.4703777
125	581.090457
126	580.6850395
127	580.3966772
128	580.0351904
129	579.6824507
130	579.3758509
131	579.0507335
132	578.7621743
133	578.4941969
134	578.2402899
135	577.9662591
136	577.706882
137	577.498606
138	577.2809812
139	577.0654857
140	576.8644936
141	576.6430487
142	576.4093441
143	576.1514705
144	575.9524207
145	575.7260209
146	575.4882322
147	575.3191628
148	575.1066166
149	574.9212136
150	574.6829581
151	574.5495387
152	574.3740346
153	574.226214
154	574.0041123
155	573.8130684
156	573.6513375
157	573.5244956
158	573.4050681
159	573.2846301
160	573.1452087
161	573.0045817
162	572.8437359
163	572.7155169
164	572.5953129
165	572.479271
166	572.3310715
167	572.2290242
168	572.0654161
169	571.8953559
170	571.6716079
171	571.5360424
172	571.3926637
173	571.2180911
174	571.0619733
175	570.9467572
176	570.8519655
177	570.7156301
178	570.5623275
179	570.4530452
180	570.3628577
181	570.2019286
182	570.0866478
183	569.9672174
184	569.8718551
185	569.7658117
186	569.5584756
187	569.4036663
188	569.2635493
189	569.1631554
190	569.0756166
191	568.9725729
192	568.8767437
193	568.7793978
194	568.6951582
195	568.58427
196	568.4714295
197	568.340349
198	568.2662297
199	568.1855894
200	568.1220978
201	568.0093618
202	567.9510289
203	567.842624
204	567.7260169
205	567.6608879
206	567.52316
207	567.3607158
208	567.2899484
209	567.2231151
210	567.1286898
211	567.0364102
212	566.912995
213	566.8295419
214	566.7688406
215	566.699757
216	566.6344355
217	566.5612862
218	566.5098888
219	566.4084205
220	566.3203138
221	566.2414954
222	566.108433
223	565.9991462
224	565.9280684
225	565.823633
226	565.7055815
227	565.6529256
228	565.5633432
229	565.4482606
230	565.3570163
231	565.2838076
232	565.2036276
233	565.1202627
234	565.013784
235	564.9474841
236	564.8561682
237	564.7380625
238	564.6816623
239	564.5796812
240	564.5040234
241	564.399156
242	564.2778659
243	564.1346596
244	564.0551341
245	563.9541185
246	563.8969368
247	563.7906351
248	563.7265658
249	563.6454266
250	563.5755324
251	563.5050441
252	563.4613887
253	563.3473391
254	563.2591366
255	563.167619
256	563.0966701
257	563.0220283
258	562.9528017
259	562.8492116
260	562.7958781
261	562.6955242
262	562.5616116
263	562.4551107
264	562.3490526
265	562.2847604
266	562.2326771
267	562.1815673
268	562.0794928
269	561.9994675
270	561.9409485
271	561.8394013
272	561.7964707
273	561.7475473
