iter	Passed	Remaining
0	43	26273
1	86	25783
2	122	24288
3	155	23167
4	186	22217
5	216	21408
6	249	21094
7	281	20822
8	312	20519
9	344	20306
10	383	20545
11	420	20623
12	469	21178
13	525	21981
14	566	22095
15	600	21915
16	633	21717
17	668	21615
18	700	21430
19	729	21163
20	771	21268
21	834	21925
22	877	22024
23	911	21868
24	943	21689
25	974	21513
26	1003	21306
27	1037	21191
28	1069	21056
29	1098	20880
30	1129	20732
31	1160	20592
32	1192	20495
33	1226	20412
34	1278	20633
35	1308	20492
36	1337	20351
37	1364	20174
38	1393	20050
39	1422	19918
40	1452	19796
41	1483	19711
42	1513	19604
43	1544	19511
44	1575	19432
45	1608	19370
46	1643	19339
47	1673	19249
48	1705	19178
49	1737	19114
50	1769	19048
51	1798	18956
52	1829	18882
53	1860	18813
54	1890	18734
55	1920	18659
56	1949	18574
57	1978	18492
58	2010	18431
59	2040	18361
60	2068	18274
61	2097	18201
62	2127	18138
63	2155	18054
64	2186	17999
65	2220	17966
66	2250	17899
67	2282	17858
68	2316	17829
69	2350	17796
70	2381	17744
71	2409	17669
72	2436	17589
73	2466	17530
74	2496	17478
75	2525	17411
76	2554	17351
77	2581	17277
78	2609	17211
79	2645	17192
80	2675	17142
81	2702	17074
82	2730	17008
83	2758	16946
84	2787	16888
85	2814	16822
86	2841	16757
87	2868	16689
88	2897	16638
89	2926	16585
90	2952	16516
91	2979	16450
92	3006	16390
93	3038	16355
94	3068	16313
95	3095	16250
96	3123	16196
97	3150	16137
98	3177	16078
99	3205	16026
100	3232	15969
101	3259	15913
102	3286	15860
103	3313	15804
104	3341	15752
105	3369	15702
106	3397	15653
107	3423	15595
108	3452	15549
109	3485	15524
110	3510	15466
111	3538	15419
112	3567	15373
113	3594	15325
114	3623	15280
115	3649	15228
116	3677	15183
117	3703	15129
118	3730	15080
119	3757	15028
120	3783	14977
121	3809	14926
122	3835	14875
123	3861	14822
124	3888	14775
125	3916	14733
126	3942	14683
127	3973	14650
128	3999	14603
129	4026	14556
130	4052	14509
131	4082	14474
132	4111	14435
133	4138	14392
134	4162	14338
135	4195	14312
136	4219	14259
137	4245	14211
138	4271	14167
139	4298	14124
140	4326	14082
141	4353	14042
142	4384	14011
143	4412	13973
144	4441	13936
145	4469	13896
146	4505	13884
147	4537	13857
148	4572	13840
149	4600	13802
150	4627	13760
151	4652	13712
152	4682	13681
153	4707	13634
154	4736	13599
155	4764	13561
156	4791	13520
157	4818	13480
158	4851	13455
159	4877	13412
160	4903	13371
161	4930	13329
162	4955	13285
163	4982	13246
164	5009	13206
165	5034	13162
166	5059	13118
167	5083	13071
168	5108	13027
169	5134	12988
170	5160	12947
171	5187	12907
172	5213	12867
173	5242	12835
174	5270	12799
175	5297	12762
176	5321	12718
177	5348	12680
178	5376	12644
179	5402	12605
180	5429	12567
181	5456	12532
182	5484	12498
183	5513	12465
184	5538	12423
185	5564	12384
186	5591	12349
187	5618	12312
188	5647	12281
189	5674	12244
190	5703	12212
191	5729	12176
192	5756	12139
193	5785	12108
194	5813	12073
195	5840	12038
196	5869	12006
197	5896	11970
198	5921	11932
199	5945	11891
200	5970	11851
201	5997	11816
202	6023	11780
203	6052	11749
204	6080	11716
205	6108	11682
206	6134	11646
207	6159	11607
208	6184	11570
209	6210	11533
210	6235	11496
211	6258	11454
212	6283	11415
213	6308	11379
214	6334	11343
215	6361	11308
216	6388	11275
217	6417	11244
218	6442	11207
219	6473	11181
220	6500	11147
221	6527	11114
222	6553	11078
223	6579	11044
224	6607	11012
225	6633	10977
226	6658	10941
227	6683	10904
228	6716	10881
